Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1372103790,GKC7603,OH,PAS,07/28/2015,17,SUBN,CADIL,P,14510,35010,35030,0,0020,20,0,952723,0TD1,0000,0826P,,,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1372103892,R15ETV,NJ,PAS,07/20/2015,17,SDN,DODGE,P,14510,35010,35030,0,0020,20,860,953459,0860,0000,1150A,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1368416100,GFV7386,NY,PAS,06/07/2015,71,SUBN,ME/BE,P,35310,14510,15710,20170329,0020,20,420,948881,0420,0000,0554P,,NY,F,40,W 77 ST,,0,408,C3,,BBBBBBB,ALL,ALL,BLUE,0,2013,-,0,,,,,
1368419665,GXU2174,NY,PAS,06/07/2015,71,SDN,LEXUS,P,35310,14510,15710,20170430,0020,20,420,948889,0420,0000,0602P,,NY,O,22,W 77 ST,,0,408,J6,,BBBBBBB,ALL,ALL,GREEN,0,1997,-,0,,,,,
1368419768,HVR7882,PA,PAS,06/24/2015,38,SDN,CADIL,P,11110,34050,34070,0,0020,20,420,948889,0420,0000,0515P,,NY,F,10,11 AVE,,0,408,F1,,YYYYYYB,0800A,0700P,SILVE,0,0,-,0,,,,,
1368482399,YPB70L,NJ,PAS,06/24/2015,38,SUBN,ROVER,P,35350,11710,13610,0,0020,20,420,948889,0420,0000,0550P,,NY,F,218,W 79 ST,,0,408,F1,,YYYYYYB,0830A,0700P,WHITE,0,0,-,0,,,,,
1368482466,ZUB74S,NJ,PAS,06/29/2015,38,SDN,VOLKS,P,35350,11710,13610,0,0020,20,420,948889,0420,0000,0600P,,NY,F,226,W 79 ST,,0,408,I4,,YYYYYYB,0830A,0700P,BLACK,0,0,-,0,,,,,
1368482533,GXS4540,NY,PAS,07/02/2015,40,SDN,ACURA,P,35190,14510,15710,20150704,0020,20,420,948889,0420,0000,0542P,,NY,F,37,W 71 ST,,0,408,C,,BBBBBBB,ALL,ALL,BLUE,0,2013,-,0,,,,,
1368484396,GEM5899,NY,PAS,07/05/2015,71,SUBN,,P,35210,13610,44990,20170205,0020,20,420,943444,0420,0000,0530P,,NY,F,260,W 72ND STREET,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,2014,-,0,,,,,
1368486230,XBDH46,NJ,PAS,07/14/2015,45,DELV,ISUZU,P,0,40404,40404,0,0020,20,420,886347,0420,0000,1023A,,NY,F,66,W 72,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1369056102,GBN3568,NY,PAS,06/22/2015,74,SDN,AUDI,P,35450,44990,29690,20160927,0020,20,20,903350,0020,0000,0300A,,NY,F,305,WEST 84 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2001,-,0,,,,,
1369056126,GCN2705,GA,PAS,06/23/2015,40,SUBN,NISSA,P,35450,15710,11710,20161231,0020,20,20,903350,0020,0000,0220A,,NY,O,100,WEST 84 ST,,0,408,C3,,BBBBBBB,ALL,ALL,BIK,0,2012,-,0,,,,,
1369056138,GJD3923,NY,PAS,06/23/2015,40,SUBN,NISSA,P,35230,14510,15710,20151019,0020,20,20,903350,0020,0000,0431A,,NY,F,49,WEST 73ST,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0,2010,-,0,,,,,
1364483725,GLR4427,NY,PAS,07/09/2015,71,WAGO,VOLVO,P,0,40404,40404,20151024,0020,20,120,931596,0120,0000,0835A,,R,F,46,HAMILTON AVE,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,
1376755750,T673670C,NY,OMT,07/06/2015,46,SDN,TOYOT,P,0,40404,40404,20160331,0020,20,70,949154,0070,0000,1230A,,K,F,1011,FOSTER AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1377159309,JNX3935,PA,PAS,06/24/2015,24,SDN,NISSA,P,35070,11710,44990,0,0020,20,20,948707,0020,0000,1130A,1115A,NY,F,240,W 65 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1377159310,GKJ3334,NY,PAS,06/24/2015,24,SDN,BMW,P,35070,11710,44990,0,0020,20,20,948707,0020,0000,1132A,1125A,NY,F,240,W 65 ST,,0,408,D5,,BBBBBBB,ALL,ALL,BLUE,0,2008,-,0,,,,,
1377159334,YVV7070,NC,PAS,06/24/2015,24,SUBN,DODGE,P,35070,11710,44990,20160331,0020,20,20,937640,0020,0000,1130A,,NY,,,I/S/O 240 W 65 ST,,0,408,D5,,BBBBBBB,ALL,ALL,BLU,0,0,-,0,,,,,
1379677580,K56DDR,NJ,PAS,06/22/2015,21,SUBN,ACURA,S,13610,35550,35570,0,0020,20,0,660698,MN02,0000,0745A,,NY,O,2421,BWAY,,0,408,D1,,YYYYYYB,0730A,0800A,GRAY,0,0,-,0,,,,,
1379792964,GFC2078,NY,PAS,06/18/2015,19,SDN,TOYOT,P,14510,35310,35390,20160425,0020,20,20,935822,0020,0000,1229A,,NY,O,200,CPW,,0,408,H8,,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
1379792988,J519159,NJ,PAS,06/19/2015,16,SUBN,JEEP,P,13610,35090,35110,0,0020,20,20,935822,0020,0000,1239A,,NY,F,1976,BROADWAY,,0,408,K2,,YYYYYYY,1200A,0730A,YELLO,0,0,-,0,,,,,
1379793853,N65095,MA,COM,06/14/2015,78,SUBN,NISSA,P,35170,15710,13610,20151231,0020,20,20,947778,0020,0000,0507A,0450A,NY,F,120,W 70 ST,,20150614,408,K6,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1380285306,GSW6848,NY,PAS,07/12/2015,40,SDN,CHRYS,P,35190,14510,15710,20150930,0020,20,20,951585,0020,0000,0417P,,NY,F,35,W 71,,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
1380285318,N67FNW,NJ,PAS,07/02/2015,20,SDN,NISSA,P,35430,44990,29690,0,0020,20,20,951585,0020,0000,0756P,,NY,F,313,W 83 ST,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1380288241,GXF5223,NY,PAS,06/20/2015,50,VAN,HONDA,P,29690,35210,35230,20170401,0020,20,20,956365,0020,0000,1008A,,NY,F,5,RIVERSIDE DR,,0,408,K6,,BBBBBBB,ALL,ALL,WHT,0,2012,-,0,,,,,
1380288496,V22BXJ,NJ,PAS,06/21/2015,98,SDN,HONDA,P,35290,15710,11710,0,0020,20,20,952871,0020,0000,0946A,,,O,140,W 76 ST,,0,408,M5,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1380288514,GLZ9812,NY,PAS,06/21/2015,40,SDN,FIAT,P,0,40404,40404,20151219,0020,20,20,952811,0020,0000,0119P,,NY,F,160,COMMONS AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2013,-,2,,,,,
1380289427,GHR1288,NY,PAS,06/19/2015,16,SUBN,MITSU,P,13610,35090,35110,20150715,0020,20,20,945382,0020,0000,1232A,,NY,F,1976,BROADWAY,,0,408,K2,,YYYYYYY,1200A,0730A,GREEN,0,0,-,0,,,,,
1380289439,GJT4204,99,PAS,06/20/2015,14,SUBN,VOLKS,P,35210,14510,15710,20150828,0020,20,20,945382,0020,0000,0504A,,NY,,1,W 72 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,2012,-,0,,,,,
1381635052,XBXW80,NJ,PAS,06/19/2015,20,VAN,FORD,P,35410,15710,11710,0,0020,20,20,940517,0020,0000,0250P,,NY,F,160,WEST 82 STREET,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1381635635,GXP4564,NY,PAS,06/20/2015,67,SDN,CADIL,P,29690,44990,29690,20170420,0020,20,20,933704,0020,0000,0235P,,,F,118,RIVERSIDE DRIVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,1992,-,0,,,,,
1382156558,XAJLY1,NJ,PAS,06/12/2015,46,DELV,ISUZU,P,15710,35130,35150,0,0020,20,20,934247,0020,0000,1122A,,NY,F,191,COLUMBUS AVE,,0,408,E1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1382156583,X2132X,NJ,PAS,06/12/2015,45,DELV,FRUEH,P,35210,15710,11710,0,0020,20,20,934247,0020,0000,1200A,,NY,F,167,W 72 ST,,0,408,E1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1382156637,XZ187N,NJ,PAS,06/25/2015,45,TRLR,FRUEH,P,15710,35110,35130,0,0020,20,20,934247,0020,0000,0955A,,NY,,171,COLUMBUS AVE,,0,408,E1,,BBBBBBB,0  :,0  :A,WH,0,0,-,0,,,,,
1382156960,TOPHAT9,NY,COM,06/18/2015,78,VAN,CHEVR,P,35210,13610,44990,20160430,0020,20,20,949133,0020,0000,0254A,,NY,F,262,W 72 ST,,0,408,K6,,BBBBBBB,0900P,0500P,RED,0,0,-,0,,,,,
1382156972,TOPHAT9,NY,COM,06/18/2015,71,VAN,CHEVR,P,35210,13610,44990,20160430,0020,20,20,949133,0020,0000,0254A,,NY,F,262,W 72 ST,,0,408,K6,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1382157204,GHV7631,NY,PAS,06/29/2015,21,SDN,SUBAR,P,35430,14510,15710,0,0020,20,20,924148,0020,0000,1143A,,NY,F,49,W 83 ST,,0,408,D1,,YBBYBBB,1100A,1230P,RD,0,0,-,0,,,,,
1382157447,GNH1285,NY,999,07/16/2015,21,SDN,BMW,P,34130,10810,10910,0,0020,20,20,924148,0020,0000,1109A,,NY,O,330,W 18 ST,,0,408,K6,,YBBYBBB,1100A,1230P,BL,0,0,-,0,,,,,
1382157460,GWM3439,NY,PAS,07/16/2015,40,SDN,PONTI,P,34130,10810,10910,0,0020,20,20,924148,0020,0000,1100A,,NY,F,319,W 18 ST,,0,408,D1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1382157540,XAVH72,NJ,PAS,06/16/2015,45,DELV,FORD,P,14510,35230,35250,0,0020,20,20,940934,0020,0000,0219P,,NY,F,135,CENTRAL PARK WEST,,0,408,E1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1382157708,GXP4564,NY,PAS,06/20/2015,50,SDN,,P,29690,44990,29690,0,0020,20,20,922596,0020,0000,0350P,,NY,F,118,RIVERSIDE DRIVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,1992,-,0,,,,,
1382157733,GXR9757,NY,PAS,06/27/2015,17,SDN,SUBAR,P,35410,15710,11710,20170319,0020,20,20,922596,0020,0000,0410P,,NY,F,127,W 82 ST,,0,408,C4,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1382157757,L11EZR,NJ,PAS,06/28/2015,17,SDN,CHEVR,P,35410,14510,15710,0,0020,20,20,922596,0020,0000,0621P,,NY,F,73,W 82 ST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1382157812,GPN5940,NY,PAS,07/15/2015,17,SDN,HONDA,P,35410,15710,11710,20170204,0020,20,20,922596,0020,0000,0745P,,NY,F,127,W 82 ST,,0,408,F1,,BBBBBBB,ALL,ALL,RED,0,2015,-,0,,,,,
1382157824,T89BKN,NJ,PAS,07/19/2015,17,SDN,ME/BE,P,35410,15710,11710,0,0020,20,20,922596,0020,0000,0359P,,NY,O,101,W 82 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1382157836,GRP1408,NY,PAS,07/19/2015,40,SDN,HONDA,P,35430,44990,29690,20160529,0020,20,20,922596,0020,0000,0410P,,NY,F,323,W 83 ST,,0,408,C4,,BBBBBBB,ALL,ALL,RED,0,2013,-,5,,,,,
1382158087,X45BKR,NJ,PAS,06/27/2015,19,SDN,TOYOT,P,29690,23,35370,0,0020,20,20,948570,0020,0000,0236P,,NY,O,78,RIVERSIDE DRIVE,,0,408,C3,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1382158270,GKU1495,OH,PAS,06/24/2015,40,VAN,DODGE,P,0,0,0,0,0020,20,20,944992,0020,0000,0911P,,NY,F,,S/W 82 ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1382158294,WAZ96E,NJ,PAS,06/27/2015,20,SUBN,DODGE,P,14510,35270,35290,0,0020,20,20,944332,0020,0000,0535P,,NY,F,160,CPW,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1382158300,GMJ2404,NY,PAS,07/05/2015,40,SDN,NISSA,P,35230,14510,15710,20150930,0020,20,20,944521,0020,0000,0518P,,NY,F,23,W 73 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1382158476,GNA2005,NY,PAS,06/27/2015,17,P-U,FORD,P,35430,14510,15710,20160205,0020,20,20,940517,0020,0000,0935A,,NY,F,70,WEST 83 STREET,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1382158488,SWC86G,NJ,PAS,06/27/2015,17,SDN,TOYOT,P,35430,14510,15710,0,0020,20,20,940517,0020,0000,0135P,,NY,F,70,WEST 83 STREET,,0,408,C4,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1382158490,W53BHV,NJ,PAS,06/28/2015,17,SUBN,ACURA,P,35430,14510,15710,0,0020,20,20,940517,0020,0000,0150P,,NY,F,70,WEST 83 STREET,,0,408,C4,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1382158567,T15DKS,NJ,PAS,07/19/2015,19,SUBN,LEXUS,P,14510,35310,35390,0,0020,20,20,940517,0020,0000,0315P,,NY,O,200,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1382158646,N24CVF,NJ,PAS,07/07/2015,46,SUBN,JEEP,P,35230,15710,11710,0,0020,20,20,940517,0020,0000,0918A,,NY,F,171,WEST 73 STREET,,0,408,E1,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1382158695,GSV8135,NY,PAS,07/14/2015,67,TWOD,HONDA,P,35030,16400,44990,20160924,0020,20,20,953302,0020,0000,0925P,,NY,F,241,W 63 ST,,0,408,E1,,BBBBBBB,ALL,ALL,GRAY,0,2008,-,0,,,,,
1382159511,PD120,MA,PAS,06/23/2015,20,SDN,HONDA,P,35290,15710,11710,0,0020,20,20,937862,0020,0000,0220A,,NY,F,120,W 76 ST,,0,408,D,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1382159535,GPH9244,NY,PAS,06/29/2015,14,SUBN,HONDA,P,35230,13610,44990,20160408,0020,20,20,937862,0020,0000,0200A,,NY,O,246,W 73 ST,,0,408,K6,,BBBBBBB,ALL,ALL,GREY,0,2014,-,0,,,,,
1382159560,XK246V,NJ,PAS,07/08/2015,78,VAN,CHEVR,P,35190,44990,29650,0,0020,20,20,937862,0020,0000,1205A,,NY,F,326,W 71 ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1382159572,GXX3258,NY,PAS,07/13/2015,19,SDN,FORD,P,14510,35310,35390,20170423,0020,20,20,937862,0020,0000,0115A,,NY,O,200,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GREY,0,2006,-,0,,,,,
1382159596,GPS4925,NY,PAS,07/19/2015,40,P-U,TOYOT,P,35390,44990,29690,20160520,0020,20,20,937862,0020,0000,0625A,,NY,F,312,W 81 ST,,0,408,C3,,BBBBBBB,ALL,ALL,GRAY,0,2014,-,4,,,,,
1382160070,GXH7852,NY,PAS,06/14/2015,20,SDN,TOYOT,P,35430,44990,29690,20170413,0020,20,20,956952,0020,0000,1242P,,NY,F,311,WEST 83,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1382160185,GNC7107,NY,PAS,06/30/2015,46,SUBN,FORD,P,35410,15710,11710,0,0020,20,20,956952,0020,0000,0329P,,NY,F,140,WEST 82ND ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2004,-,0,,,,,
1382160197,XK246V,NJ,PAS,07/07/2015,78,VAN,CHEVR,P,35190,44990,29650,0,0020,20,20,956952,0020,0000,0103A,,NY,F,317,W 71ST ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1382160203,GMH5384,NY,PAS,07/07/2015,40,SDN,ME/BE,P,35270,14510,15710,20160317,0020,20,20,956952,0020,0000,0248A,,NY,F,15,WEST 75TH ST,,0,408,K6,,BBBBBBB,ALL,ALL,GREY,0,2012,-,0,,,,,
1382160227,GVB2482,NY,PAS,07/10/2015,67,SDN,HONDA,P,0,40404,40404,20161116,0020,20,20,956952,0020,0000,0449A,,NY,F,241,WEST 63 RD ST,,0,408,K6,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1382160240,XAUM44,NJ,PAS,07/11/2015,78,VAN,FORD,P,35190,15710,13610,0,0020,20,20,956952,0020,0000,0355A,,NY,F,105,WEST 71ST ST,,0,408,C3,,BBBBBBB,0900P,0600A,WHITE,0,0,-,0,,,,,
1382160690,GMH8510,NY,PAS,06/15/2015,14,SUBN,CHRYS,P,35430,15710,11710,20160306,0020,20,20,939167,0020,0000,0430A,,NY,,126,W83,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2011,-,0,,,,,
1382160732,GSM7136,NY,PAS,06/25/2015,74,SDN,HONDA,X,35310,13610,44990,20160706,0020,20,20,939167,0020,0000,0400P,,NY,O,237,W 77,,0,408,E1,,BBBBBBB,ALL,ALL,BRW,0,2014,-,0,,,,,
1382160770,GXN9345,NY,PAS,07/12/2015,17,SUBN,JEEP,P,35430,14510,15710,20160930,0020,20,20,939163,0020,0000,0550P,,NY,F,71,W.83RD,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0,2014,-,0,,,,,
1382160800,G0ZZ0,CT,PAS,07/19/2015,17,VAN,CHEVR,P,35410,15710,11710,0,0020,20,20,939167,0020,0000,0354P,,NY,F,127,W 82ND,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1382160811,U76ERL,NJ,PAS,07/19/2015,17,SUBN,FORD,P,35410,15710,11710,0,0020,20,20,939167,0020,0000,0356P,,NY,F,117,W 82ND,,0,408,C4,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1382161074,GVV2973,NY,PAS,06/21/2015,98,TWOD,FIAT,P,35170,21045,29650,20170223,0020,20,20,957013,0020,0000,1002P,,NY,F,345,W 70TH ST,,0,408,C4,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1382161086,GPX5370,PA,PAS,06/27/2015,19,SDN,LEXUS,P,29690,23,35370,0,0020,20,20,957013,0020,0000,0547P,,NY,O,78,RIVERSIDE DR,,0,408,E1,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
