CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,7188652551,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302,33,100,3000000,3002010005,BK09
41069770,PASTICCERIA BRUNO OF GREENWICH VILLAGE,Staten Island,1650,HYLAN BOULEVARD,10305,7189875859,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,8/1/2021,Cycle Inspection / Initial Inspection,40.58833446,-74.0904854,502,50,7000,5049951,5033760033,SI36
40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,9175210827,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.85007394,-73.93585843,112,10,26500,1064280,1021760133,MN36
50109227,SPICY BAI CHUAN RESTAURANT,Brooklyn,6916,18 AVENUE,11204,6468587100,Chinese,7/30/2021,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,18,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.61667423,-73.99267005,311,43,26000,3156700,3061600046,BK28
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104,3,12900,1026975,1010750045,MN15
40692741,DELIGHT DONUT,Queens,6691,FRESH POND ROAD,11385,7186284708,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70620385,-73.8967843,405,30,61301,4438878,4036190005,QN20
50060971,KATCH,Queens,3119,NEWTOWN AVE,11102,9143200307,American,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76743108,-73.92062418,401,22,7100,4539970,4006190014,QN71
50016102,CAFE GRUMPY,Manhattan,200,WEST   39 STREET,10018,9179033437,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75429687,-73.98876752,105,3,11300,1014485,1007880049,MN17
50108095,KANSAS CHICKEN & BURGER,Brooklyn,1032,NOSTRAND AVENUE,11225,3476495481,American,7/30/2021,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66323466,-73.95091441,309,40,32900,3034805,3013150042,BK60
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,7188652551,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302,33,100,3000000,3002010005,BK09
50104136,FLATBUSH  BAGEL,Brooklyn,557,FLATBUSH AVENUE,11225,5164915588,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,30,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66025483,-73.96061219,309,40,79801,3114677,3050280001,BK60
41637595,"DUNKIN',' BASKIN ROBBINS",Bronx,4115,3 AVENUE,10457,7182945344,Donuts,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84455368,-73.8972483,206,15,39500,2009598,2029230037,BX01
41637595,"DUNKIN',' BASKIN ROBBINS",Bronx,4115,3 AVENUE,10457,7182945344,Donuts,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84455368,-73.8972483,206,15,39500,2009598,2029230037,BX01
40377630,JOHNS CAFE & RESTAURANT,Manhattan,823,SECOND AVENUE,10017,2128674955,American,7/30/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,,,8/1/2021,Cycle Inspection / Initial Inspection,40.75102757,-73.97133909,106,4,8800,1037564,1013170028,MN19
40649472,PIER 60,Manhattan,,AND WEST SIDE HIGHWAY,10011,2123366060,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,,,,,,,,
50102850,LA TAQUERIA,Brooklyn,572,GRAND STREET,11211,2123616164,Mexican,7/30/2021,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,17,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.71111926,-73.94922698,301,34,51300,3069511,3027850029,BK73
41641278,OLD COUNTRY BAGEL,Queens,16226,CROSS BAY BLVD,11414,7188459211,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,42,,,8/1/2021,Cycle Inspection / Initial Inspection,40.65357404,-73.83850377,410,32,89200,4294195,4140660013,QN57
50104259,ROYAL COFFEE SHOP,Staten Island,19,CORSON AVENUE,10301,3478617671,American,7/30/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,69,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63820724,-74.07936924,501,49,1100,5000296,5000180074,SI22
50107792,FORTIS RESTAURANT,Queens,10826,GUY R BREWER BLVD,11433,7182629352,Caribbean,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Re-inspection,40.69602193,-73.79086656,412,28,26000,4216187,4101500048,QN01
40377294,MCDONALD'S,Queens,7002,COOPER AVENUE,11385,7184970722,Hamburgers,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7017391,-73.88083222,405,30,62900,4090455,4037080033,QN19
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,9176764185,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,67,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305,37,118400,3092391,3041320165,BK83
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,9176764185,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,67,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305,37,118400,3092391,3041320165,BK83
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,2129621037,American,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,8/1/2021,Cycle Inspection / Initial Inspection,40.71607657,-74.0014249,101,1,2900,1079000,1001670001,MN27
50104790,EL CHANGARRITO,Brooklyn,602,MARLBOROUGH ROAD,11226,3477710235,Spanish,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63505314,-73.96328248,314,40,52000,3121147,3052350008,BK42
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458,7183652277,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31,,,8/1/2021,Cycle Inspection / Initial Inspection,40.86759042,-73.88308647,207,11,41500,2016446,2032800061,BX05
41713587,SWEET LEAF,Queens,4615,CENTER BOULEVARD,11109,3475271038,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,,,8/1/2021,Cycle Inspection / Initial Inspection,40.74723234,-73.9563777,402,26,100,4541715,4000210035,QN31
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
50111132,BUONASERA RESTAURANT PIZZA,Brooklyn,6522,11 AVENUE,11219,7183139231,Italian,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.62845491,-74.00612799,310,38,21200,3142184,3057510047,BK30
40398899,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,7183760174,Pizza,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,,,8/1/2021,Cycle Inspection / Initial Inspection,40.59020886,-73.97328784,315,47,38600,3194400,3071730042,BK26
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,2126932001,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101,1,1300,1075702,1000800004,MN25
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,2126932001,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101,1,1300,1075702,1000800004,MN25
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,9176764185,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,67,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305,37,118400,3092391,3041320165,BK83
40398899,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,7183760174,Pizza,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,45,,,8/1/2021,Cycle Inspection / Initial Inspection,40.59020886,-73.97328784,315,47,38600,3194400,3071730042,BK26
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
41368569,TITA'S DONUTS AND COFFEE SHOP,Bronx,1930,GRAND CONCOURSE,10457,7189018425,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,,,8/1/2021,Cycle Inspection / Initial Inspection,40.85009961,-73.90545937,205,15,23502,2007721,2028100001,BX41
50108809,ZUCKER'S BAGELS FULLTON ST.,Manhattan,125,FULTON STREET,10038,2126611080,Other,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.71002961,-74.00735829,101,1,1501,1079214,1000910011,MN25
50107105,FALLSBURGH BAGELS,Brooklyn,4602,16 AVENUE,11204,7188533323,Other,7/30/2021,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,59,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63262327,-73.98386664,312,44,23400,3128591,3054367504,BK88
50055215,FRANKLIN 820,Brooklyn,820,FRANKLIN AVENUE,11225,7187084113,American,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,23,,,8/1/2021,Cycle Inspection / Initial Inspection,40.66987445,-73.95826695,309,35,21300,3029675,3011850046,BK63
50109644,Arlington Cafe,Bronx,5701,ARLINGTON AVENUE,10471,6465231516,American,7/30/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.90664757,-73.90684379,208,11,32300,2086311,2059520096,BX22
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,7182744925,Czech,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401,22,11500,4437011,4008420006,QN72
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,05A,Sewage disposal system improper or unapproved.,Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,73,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101,1,900,1000836,1000290022,MN25
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,Irish,7/30/2021,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70533871,-74.00869226,101,1,700,1000834,1000280015,MN25
50107105,FALLSBURGH BAGELS,Brooklyn,4602,16 AVENUE,11204,7188533323,Other,7/30/2021,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,59,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63262327,-73.98386664,312,44,23400,3128591,3054367504,BK88
41713587,SWEET LEAF,Queens,4615,CENTER BOULEVARD,11109,3475271038,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,8/1/2021,Cycle Inspection / Initial Inspection,40.74723234,-73.9563777,402,26,100,4541715,4000210035,QN31
40529979,ROMEO'S PIZZERIA,Queens,18808,UNION TURNPIKE,11366,7184544223,Pizza,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.72924819,-73.78096961,408,23,127700,4156312,4072660001,QN06
40863010,WASHINGTON SQUARE DINER,Manhattan,150,WEST    4 STREET,10012,2125339306,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7315104,-74.00059174,102,1,6500,1008752,1005430042,MN23
40377630,JOHNS CAFE & RESTAURANT,Manhattan,823,SECOND AVENUE,10017,2128674955,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,,,8/1/2021,Cycle Inspection / Initial Inspection,40.75102757,-73.97133909,106,4,8800,1037564,1013170028,MN19
41641278,OLD COUNTRY BAGEL,Queens,16226,CROSS BAY BLVD,11414,7188459211,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,42,,,8/1/2021,Cycle Inspection / Initial Inspection,40.65357404,-73.83850377,410,32,89200,4294195,4140660013,QN57
50107792,FORTIS RESTAURANT,Queens,10826,GUY R BREWER BLVD,11433,7182629352,Caribbean,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Re-inspection,40.69602193,-73.79086656,412,28,26000,4216187,4101500048,QN01
40398899,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,7183760174,Pizza,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,45,,,8/1/2021,Cycle Inspection / Initial Inspection,40.59020886,-73.97328784,315,47,38600,3194400,3071730042,BK26
50106972,GRUBBS TAKEAWAY,Manhattan,287,7 AVENUE,10001,6464845115,American,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,32,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.74619199,-73.99410655,105,3,9500,1015030,1008020003,MN17
50111450,CASTLE CHICKEN,Bronx,5987A,BROADWAY,10471,9178562047,Chicken,7/30/2021,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,41,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.88993027,-73.89805316,208,11,28500,2084208,2058011033,BX29
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104,3,12900,1026975,1010750045,MN15
